objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Saboteur: The Lost Mines","245214","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247818","5.66984","6.3429","0","5371","1507","thing","Saboteur: The Lost Mines","3","9","60","60","30","2019","4,5,6,7,8,9","6","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2019","German edition"
"same same: Wer tickt wie du?","144536","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247429","0","5.73182","0","0","28","thing","same same: Wer tickt wie du?","3","6","45","45","45","2013","","","","","","","","","","standalone","","","","",""
"Santorini","194655","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","66840526","7.31495","7.46094","1.7196","179","48163","thing","Santorini","2","4","20","20","20","2016","2,3","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Santorini: Golden Fleece","216033","0","","0","1","0","0","0","0","0","0","0","3","","","","","","67033842","6.40353","7.79906","1.9","0","7397","thing","Santorini: Golden Fleece","2","4","20","0","20","2017","2,4","2","6–10","No necessary in-game text","","","","","","expansion","","","","",""
"Särge schubsen","171475","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","69793624","5.52534","5.90384","1","13270","444","thing","Särge schubsen","2","6","15","15","15","2015","4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Schatten über Camelot: Das Kartenspiel","129904","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390251","5.58763","5.72411","1.913","7770","2794","thing","Shadows over Camelot: The Card Game","1","7","20","20","20","2012","2,3,4,5,6,7","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Days of Wonder","English; French; German","2012","English/French/German edition"
"Schollen Rollen","232437","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","66198045","5.54741","5.98869","1","10390","254","thing","Schollen Rollen","2","8","20","20","20","2017","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2017","German edition"
"Schwarz Rot Gelb Extreme","217365","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67033809","0","5.71053","0","0","59","thing","Schwarz Rot Gelb Extreme","2","6","20","20","20","2017","1,2,3,4,5,6","4,5,6","","","","","","","","standalone","","","","",""
"Schweinerei: Party Edition","92497","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249506","5.4918","5.47826","0","18288","464","thing","Pass the Pigs: Pig Party Edition","2","4","20","20","20","2011","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","Winning Moves Games (USA)","German","2011","German edition"
"Scrabble Karten","6994","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248338","5.48084","5.46746","0","19242","863","thing","Scrabble Card Game","2","6","20","20","20","1997","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Seasons","108745","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247336","7.23363","7.39796","2.7695","223","25002","thing","Seasons","2","4","60","60","60","2012","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Senators","234337","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247136","5.82459","6.99167","2.0714","3535","819","thing","Senators","3","5","60","60","45","2017","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Sid Meier's Civilization: Das Brettspiel","77130","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64246961","7.15597","7.4057","0","272","19616","thing","Sid Meier's Civilization: The Board Game","2","4","240","240","120","2010","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Die Siedler von Catan: Kartenspiel – Kämpfer & Kaufleute","155354","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247708","5.55952","7.25714","2.6667","0","305","thing","Die Siedler von Catan: Kartenspiel – Kämpfer & Kaufleute","2","2","90","90","90","2003","","","","","","","","","","expansion","","","","",""
"Die Siedler von Catan: Kartenspiel – Magier & Forscher","154961","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247714","5.55967","7.24068","0","0","335","thing","Die Siedler von Catan: Kartenspiel – Magier & Forscher","2","2","90","90","90","2003","","","","","","","","","","expansion","","","","",""
"Silver & Gold","270673","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200318","6.83965","7.33467","1.1625","551","8993","thing","Silver & Gold","2","4","20","20","20","2019","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Skat","6819","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248419","6.14096","7.25209","3.0686","1930","1440","thing","Skat","3","3","30","30","30","1810","3","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Skip-Bo Dice Game","286312","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75383005","0","5.94737","1.5","0","56","thing","Skip-Bo Dice Game","2","4","30","30","15","2019","","","","","","","","","","standalone","","","","",""
"Skull King","150145","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249140","6.87067","7.40579","1.7345","523","8730","thing","Skull King","2","6","30","30","30","2013","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Skylands","254976","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69793651","5.7281","6.7813","2.1538","4523","751","thing","Skylands","2","4","45","45","30","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Small World","40692","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247384","7.16285","7.25593","2.3541","265","83974","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Small World of Warcraft","309630","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75382855","6.27868","7.59143","2.3704","1505","3605","thing","Small World of Warcraft","2","5","80","80","40","2020","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Small World Underground","97786","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247356","6.97311","7.2678","2.589","419","16527","thing","Small World Underground","2","5","90","90","30","2011","2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Small World: Die Insel des Geisterbeschwörers","84183","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247411","6.05686","6.71733","2.1786","0","8062","thing","Small World: Necromancer Island","3","6","80","80","40","2010","3,4,5,6","","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Small World: Fabeln und Legenden","71818","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247417","6.6225","7.24094","2.1699","0","11650","thing","Small World: Tales and Legends","2","5","80","80","40","2010","2,3,4,5","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Small World: Im Netz der Spinne","165458","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247407","6.30198","7.55306","0","0","5400","thing","Small World: A Spider's Web","2","5","80","80","80","2014","2,3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Small World: Keine Panik!","81618","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247395","7.07722","7.60878","2.2915","0","16652","thing","Small World: Be Not Afraid...","2","5","80","80","40","2010","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Small World: Realms","122316","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247376","6.41509","7.32381","2.4267","0","7749","thing","Small World: Realms","2","6","80","80","40","2012","2,3,4,5,6","4,5","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Small World: River World","207121","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247369","5.90614","7.33415","2.1429","0","3130","thing","Small World: River World","2","5","80","80","40","2016","2,3,4,5","4,5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Small World: Sky Islands","235520","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247388","5.90786","7.75135","2.5","0","2284","thing","Small World: Sky Islands","3","6","80","80","40","2017","2,3,4,5,6","4,5","8+","","","","","","","expansion","","","","",""
"Smash Up","122522","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249307","6.58429","6.74193","2.0648","904","39688","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: All Stars","220266","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249339","5.68881","7.342","2.6667","0","1153","thing","Smash Up: All Stars","0","0","0","0","0","2017","","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Smash Up: Awesome Level 9000","134726","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309809","6.84124","7.24825","0","547","17546","thing","Smash Up: Awesome Level 9000","2","2","45","45","45","2013","2","","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: Big in Japan","216199","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309818","6.06224","7.51358","0","2207","3288","thing","Smash Up: Big in Japan","2","2","45","45","30","2017","2","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: Cease and Desist","198487","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309842","6.28832","7.47443","2.5","1486","4954","thing","Smash Up: Cease and Desist","2","2","45","45","45","2016","2","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: It's Your Fault!","177802","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309852","6.50003","7.52811","0","1050","6525","thing","Smash Up: It's Your Fault!","2","2","60","60","45","2016","2","","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Smash Up: Kuschelattacke","168917","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249315","6.63155","7.26155","0","835","10992","thing","Smash Up: Pretty Pretty Smash Up","2","2","45","45","45","2015","2","","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Smash Up: Munchkin","162559","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249114","5.96436","6.60516","2.1786","2647","5191","thing","Smash Up: Munchkin","2","4","45","45","30","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Smash Up: Oops, You Did It Again","247724","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71090588","5.81062","7.50138","0","3658","1803","thing","Smash Up: Oops, You Did It Again","2","2","45","45","45","2018","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: Schafe","220188","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249333","5.90951","7.37151","2.2","0","2998","thing","Smash Up: Sheep","2","4","45","0","45","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Smash Up: Science Fiction Double Feature","151004","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249323","6.69813","7.28537","2.3026","732","11844","thing","Smash Up: Science Fiction Double Feature","2","2","45","45","30","2014","2","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Smash Up: That '70s Expansion","241225","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309832","5.8511","7.57818","2.6667","3327","1920","thing","Smash Up: That '70s Expansion","2","2","45","45","45","2018","2","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: What Were We Thinking?","216658","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75382901","6.06515","7.47284","0","2196","3211","thing","Smash Up: What Were We Thinking?","2","2","45","45","45","2017","2","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: Widerstand zwecklos","266938","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249327","5.71916","7.52476","2.5","4630","1258","thing","Smash Up: World Tour – International Incident","2","2","45","45","45","2019","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Smash Up: World Tour – Culture Shock","274590","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75382892","5.70574","7.77854","2.8","4809","1083","thing","Smash Up: World Tour – Culture Shock","2","4","60","60","45","2019","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Soviet Kitchen Unleashed","260407","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","73309757","5.82188","6.88189","1.5455","3556","1036","thing","Soviet Kitchen Unleashed","1","6","25","25","25","2018","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Space Cadets","123096","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248937","6.22294","6.59032","2.7353","1668","5822","thing","Space Cadets","3","6","120","120","60","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Space Cadets: Dice Duel","142079","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390217","6.32659","6.78895","2.08","1387","4811","thing","Space Cadets: Dice Duel","4","8","30","30","30","2013","4,6,7,8","8","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Speed Cups⁶","257967","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71811050","5.52212","6.56152","1","13782","97","thing","Speed Cups⁶","2","6","15","0","15","2018","","","","No necessary in-game text","","","","","","standalone","","","","",""
"Spiel des Lebens","2921","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247521","4.3055","4.30578","1.174","20968","17289","thing","The Game of Life","2","6","60","60","60","1960","2,3,4,5,6","4","6–18","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Spiel mir das Lied vom Munchkin 1+2","260206","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247885","0","7.8","0","0","24","thing","Spiel mir das Lied vom Munchkin 1+2","3","6","90","90","90","2014","","","","","","","","","","standalone","","","","",""
"Spot it!","63268","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309987","6.44305","6.62272","1.0301","1150","25769","thing","Spot it!","2","8","15","15","15","2009","2,3,4,5,6,7,8","4,5","4+","No necessary in-game text","","","","","","standalone","","","","",""
"Stack-A-Biddi","135213","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200353","5.51734","6.15625","0","14530","88","thing","Stack-A-Biddi","2","4","45","45","45","2012","","","","","","","","","","standalone","","","","",""
"Stacrobats","9912","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","74223818","5.48536","5.34817","0","18916","371","thing","Stacrobats","1","4","10","10","10","1970","2,3,4","4","5–10","No necessary in-game text","","","","","","standalone","","","","",""
"Stadt Land Vollpfosten","250463","0","","0","1","0","0","0","0","0","0","0","3","","Rotlicht Edition","","","","71811047","5.52039","6.13731","0","14041","130","thing","Stadt Land Vollpfosten","2","10","0","0","0","2016","2,3,4","3","10","","","","","","","standalone","","","","",""
"Stalinallee","11439","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64246986","0","4.66667","0","0","18","thing","Stalinallee","2","6","0","0","0","1999","","","","","","","","","","standalone","","","","",""
"Star Munchkin 1+2","4095","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248075","5.87036","6.12696","1.7419","3189","9876","thing","Star Munchkin","3","6","90","90","90","2002","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Star Wars: Imperial Assault","164153","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","64248953","7.72929","8.0081","3.3097","49","35972","thing","Star Wars: Imperial Assault","1","5","120","120","60","2015","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Heidelberger Spieleverlag","German","2015","German edition"
"Stuhl auf Stuhl","2922","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66340418","5.53523","5.66675","1.04","11843","1236","thing","Chairs","1","99","20","20","20","1999","1,2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Super 5","1961","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249251","5.48868","5.49389","0","18615","625","thing","5 Alive","2","7","30","30","30","1990","","","","","","","","","","standalone","","","","",""
"Super Munchkin","16933","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248282","5.66294","5.87617","0","5508","6231","thing","Super Munchkin","3","6","90","90","90","2005","3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Sushi Go Party!","192291","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","64247346","7.2855","7.45716","1.3064","194","42519","thing","Sushi Go Party!","2","8","20","20","20","2017","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Zoch Verlag","German","2017","German edition"
"T-Rex","174","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248607","5.49769","5.50861","0","17577","623","thing","T-Rex","3","5","45","45","45","1999","2,3,4,5","3,4","","No necessary in-game text","","","","","","standalone","","","","",""
"Tabu: The Game of Aztecs","7106","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247513","5.53518","6.06605","3","11847","323","thing","Tabu: The Game of Aztecs","4","4","120","120","120","1980","","","","","","","","","","standalone","","","","",""
"Taco Cat Goat Cheese Pizza","253664","0","","0","1","0","0","0","0","0","0","0","3","","","","","","81228117","5.99287","6.95999","1.0294","2499","3184","thing","Taco Cat Goat Cheese Pizza","2","8","30","30","10","2018","3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Talisman (Revised 4th Edition): The Lost Realms","248506","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75382946","5.55626","7.59385","0","0","485","thing","Talisman (Revised 4th Edition): The Lost Realms","2","6","90","90","90","2018","","","","","","","","","","expansion","","","","",""
"Talisman (Revised 4th Edition): The Woodland Expansion","158979","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75382957","6.0399","7.57003","2.2857","0","2951","thing","Talisman (Revised 4th Edition): The Woodland Expansion","2","6","90","90","90","2014","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Talisman: Legendäre Abenteuer","255658","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","64247276","5.63398","6.43113","1.25","6168","899","thing","Talisman: Legendary Tales","1","6","40","40","20","2018","2,3,4,5,6","","6+","","","","","","","standalone","","","","",""
"Talisman: Revised 4th Edition","27627","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75382871","6.27458","6.52216","2.1888","1515","20473","thing","Talisman: Revised 4th Edition","2","6","90","90","90","2007","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Team Work Original","14042","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247463","5.58573","6.13254","0","7855","686","thing","Team Work Original","4","16","20","20","20","2004","5,6,7,8,9,10,11,12,13,14,15,16","7,8,9,10","8+","Unplayable in another language","","","","","","standalone","","","","",""
"TEAM3 GREEN","275870","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66988091","5.90228","7.09056","1.1667","2970","1140","thing","TEAM3 GREEN","3","6","30","30","30","2019","3,6","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"TEAM3 PINK","247694","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","66988093","5.87876","7.03175","1","3135","1062","thing","TEAM3 PINK","3","6","30","30","30","2019","3,4,5,6","3,6","8","No necessary in-game text","","","","","","standalone","","","","",""
"Terra Mystica","120677","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69793670","7.98206","8.13785","3.9642","17","44080","thing","Terra Mystica","2","5","150","150","60","2012","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"That's Pretty Clever!","244522","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70202362","7.40654","7.63188","1.8871","134","23917","thing","That's Pretty Clever!","1","4","30","30","30","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Game: Spiel ... so lange du kannst Inklusive der Erweiterung THE GAME ON FIRE","182453","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249168","5.74821","6.91766","1","0","943","thing","The Game + The Game on Fire","1","5","20","20","20","2015","1,2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Think: Kids – Alles Gemerkt?","114417","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248706","0","6.5","1","0","19","thing","Think: Kids – Alles Gemerkt?","2","5","30","30","30","2009","2,3,4,5","","6–14","No necessary in-game text","","","","","","standalone","","","","",""
"Thurn und Taxis","21790","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247091","6.95096","7.10022","0","442","20564","thing","Thurn and Taxis","2","4","60","60","60","2006","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Thurn und Taxis: Glanz und Gloria","27690","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247097","6.43576","7.17893","2.3135","0","4709","thing","Thurn and Taxis: Power and Glory","2","4","60","60","60","2007","2,3,4","4","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Die Tore der Welt: Das Kartenspiel","118452","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249173","5.55225","6.11032","2.1667","9918","459","thing","Die Tore der Welt: Das Kartenspiel","2","4","45","45","45","2012","2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Trapwords","257527","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249587","6.28669","7.01496","0","1489","3635","thing","Trapwords","4","8","45","45","30","2018","4,5,6,7,8","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Treasure Hunter","182189","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74948304","6.28167","6.76811","1.8646","1499","4599","thing","Treasure Hunter","2","6","40","40","40","2015","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Trepido","20373","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248323","0","5.25","0","0","34","thing","Trepido","2","6","0","0","0","2001","","","","","","","","","","standalone","","","","",""
"Tricky Druids","271040","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71093193","5.49797","5.48194","2","17544","164","thing","Tricky Druids","2","4","30","30","20","2019","","","","No necessary in-game text","","","","","","standalone","","","","",""
"Trio","8148","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248631","0","5.5","0","0","37","thing","Trio","2","2","10","10","10","1972","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"True Stories","179552","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248645","0","6.3413","1","0","64","thing","True Stories","2","6","30","30","20","2015","3,4,5,6","4,5,6","10","","","","","","","standalone","","","","",""
"Tuki","270168","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70447509","5.86071","6.92189","1.1818","3254","1088","thing","Tuki","2","4","45","45","30","2019","1,2,3","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"tummple!","156878","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69526016","5.62329","6.47744","1","6444","491","thing","tummple!","2","10","20","20","20","0","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Twenty One","217475","6","4","0","1","0","0","0","0","0","0","0","3","","","","","","65745837","5.76249","6.43426","1","4114","1145","thing","Twenty One","2","6","15","15","15","2017","2,3,4,5,6","","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Twice as Clever!","269210","0","","0","1","0","0","0","0","0","0","0","3","","","","","","79244769","7.03148","7.51096","2.3564","373","9631","thing","Twice as Clever!","1","4","30","30","30","2019","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Der unendliche Fluss","165797","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","76892229","5.52779","5.93805","1","12894","250","thing","Der unendliche Fluss","2","4","15","15","15","2014","3,4","4","4–12","No necessary in-game text","","","","","","standalone","","","","",""
"UNO","2223","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248440","5.30809","5.40514","1.1165","20857","40331","thing","UNO","2","10","30","30","30","1971","2,3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Vampir Mau Mau","154515","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249480","5.52276","5.81261","1.3333","13692","294","thing","Vampir Mau Mau","2","4","30","30","20","2014","2,3,4","3,4","8","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Vampire Queen","191073","6","6","0","1","0","0","0","0","0","0","0","3","","","","","","64249130","5.65563","6.44671","1.2","5649","813","thing","Vampire Queen","3","12","30","30","30","2016","4,5,6,7,8","6","6","No necessary in-game text","","","","","","standalone","","","","",""
"Verdammt Nochmal","237082","0","","0","1","0","0","0","0","0","0","0","3","","","","","","79823684","5.51121","5.81731","1","15564","119","thing","Verdammt Nochmal","2","99","20","20","20","2016","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Verflucht!","243435","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70741039","5.57522","6.01972","1.1667","8404","561","thing","Verflucht!","1","5","15","15","15","2018","1,2,3,4","1","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Villen des Wahnsinns","83330","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249062","7.00424","7.29263","3.2442","398","18649","thing","Mansions of Madness","2","5","180","180","120","2011","2,3,4,5","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Voll verasselt","286659","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69732713","5.51284","6.14239","0","15305","76","thing","Voll verasselt","2","5","30","30","30","2019","","","","","","","","","","standalone","","","","",""
"Vollpfosten","257076","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69542353","5.51445","6.09111","0","15018","91","thing","Vollpfosten","3","8","20","20","20","2018","3,4,5,6,7,8","4,5,6","6+","","","","","","","standalone","","","","",""
"The Voting Game","172007","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200346","5.4838","5.55608","0","19034","1143","thing","The Voting Game","5","10","30","30","30","2014","5,6,7,8,9,10","6,7,8","16+","Unplayable in another language","","","","","","standalone","","","","",""
"Welcome to the Dungeon","150312","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249270","6.44651","6.59048","1.2281","1141","21256","thing","Welcome to the Dungeon","2","4","30","30","30","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Werewords","219215","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200309","6.63951","7.15922","1.18","822","6496","thing","Werewords","4","10","10","10","10","2017","4,5,6,7,8,9,10","6,7","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Werwölfe","255356","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249613","5.5706","7.41286","0","8633","232","thing","Werwölfe","6","24","60","60","30","2017","","","","","","","","","","standalone","","","","",""
"Witches","145478","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65745820","5.59291","6.4145","2","7542","541","thing","HeartSwitch","3","6","45","45","45","2013","4,5,6","4,5,6","","No necessary in-game text","","","","","","standalone","","","","",""
